seq_id	locus
TRI1|F_sporotrichioides	TRI1
TRI1|F_poae_DAOMC252244	TRI1
TRI1|F_pseudograminearum_CS3096	TRI1
TRI5|Fusarium_graminearum	TRI5
TRI5|Fsporotrichioides_NRRL3299	TRI5
TRI5|Fusarium_pseudograminearum_CS3096	TRI5
TRI5|Fusarium_poae	TRI5
TRI6|Fusarium_graminearum	TRI6
TRI6|Fusarium_sporotrichioides	TRI6
TRI6|Fusarium_pseudograminearum_CS3096	TRI6
TRI6|Fusarium_poae	TRI6
TRI8|Fusarium_graminearum_PH-1	TRI8
TRI8|Fusarium_sporotrichioides	TRI8
TRI8|Fusarium_pseudograminearum_CS3096	TRI8
TRI8|Fusarium_poae	TRI8
TRI11|Fusarium_graminearum_PH-1	TRI11
TRI11|Fusarium_sporotrichioides	TRI11
TRI11|Fusarium_pseudograminearum	TRI11
TRI11|Fusarium_poae	TRI11
TRI12|Fusarium_graminearum	TRI12
TRI12|Fusarium_sporotrichioides	TRI12
TRI12|Fusarium_pseudograminearum	TRI12
TRI12|Fusarium_poae	TRI12
TRI13|Fusarium_poae	TRI13
TRI7|Fusarium_poae	TRI7
TRI3|Fusarium_pseudograminearum_CS3096	TRI3
TRI3|Fusarium_poae	TRI3
TRI4|F_graminearum_PH-1	TRI4
TRI4|Fusarium_pseudograminearum	TRI4
TRI4|Fusarium_poae	TRI4
TRI10|Fusarium_pseudograminearum_CS3096	TRI10
TRI10|Fusarium_poae	TRI10
TRI9|F_graminearum_PH-1	TRI9
TRI9|XM_044858471.1:1-132 TRI9 [organism=Fusarium poae] [GeneID=68349128] [region=cds]	TRI9
TRI14|F_graminearum_PH-1	TRI14
TRI14|F_poae	TRI14
TRI16|TRI16_Fsporotrichioides_	TRI16
TRI17|F_graminearum_PH-1	TRI17
TRI20|F_graminearum_PH-1	TRI20
TRI21|F_graminearum_PH-1	TRI21
TRI22|Fusarium_graminearum_PH-1	TRI22
TRI101|Fusarium_graminearum_PH-1	TRI101
TRI201|Fusarium_graminearum_PH-1	TRI201
