Genome_ID,Gene,Reference_ID,Chromosome_or_Contig,Strand,Reference_hit_group,Start,End,HSP_count,Query_length,Query_covered_bp,Combined_query_coverage,Weighted_percent_identity,Total_bitscore,Best_evalue,Total_alignment_length,Combined_query_coverage_percent,Pass_coverage_filter
GCA_001292635.1,TRI1,TRI1|F_sporotrichioides,JXCE01000207.1,+,1,10377,12233,5,1629,1629,1.0,97.00679780085524,2755,0.0,1637,100.0,True
GCA_001292635.1,TRI5,TRI5|Fusarium_graminearum,JXCE01000103.1,-,1,25891,27072,2,1128,1126,0.99822695035461,87.16817079646017,1274,0.0,1130,99.822695035461,True
GCA_001292635.1,TRI5,TRI5|Fusarium_graminearum,JXCE01000757.1,+,1,463,1617,2,1128,1126,0.99822695035461,85.14570910698498,1120,0.0,1131,99.822695035461,True
GCA_001292635.1,TRI5,TRI5|Fsporotrichioides_NRRL3299,JXCE01000103.1,-,1,25889,27072,1,1185,1185,1.0,97.975,2054,0.0,1185,100.0,True
GCA_001292635.1,TRI5,TRI5|Fsporotrichioides_NRRL3299,JXCE01000757.1,+,1,463,1619,1,1185,1185,1.0,88.458,1404,0.0,1187,100.0,True
GCA_001292635.1,TRI5,TRI5|Fusarium_pseudograminearum_CS3096,JXCE01000103.1,-,1,25889,26544,1,1128,659,0.5842198581560284,86.536,721,0.0,661,58.42198581560284,False
GCA_001292635.1,TRI5,TRI5|Fusarium_pseudograminearum_CS3096,JXCE01000757.1,+,1,463,1619,2,1128,1128,1.0,85.76498054818744,1163,0.0,1131,100.0,True
GCA_001292635.1,TRI5,TRI5|Fusarium_poae,JXCE01000757.1,+,1,463,1619,2,1134,1134,1.0,88.53652469135803,1340,0.0,1134,100.0,True
GCA_001292635.1,TRI5,TRI5|Fusarium_poae,JXCE01000103.1,-,1,25889,27072,2,1134,1134,1.0,89.77027777777778,1444,0.0,1134,100.0,True
GCA_001292635.1,TRI6,TRI6|Fusarium_graminearum,JXCE01000103.1,-,1,29370,30023,1,657,657,1.0,85.693,689,0.0,657,100.0,True
GCA_001292635.1,TRI6,TRI6|Fusarium_graminearum,JXCE01000519.1,+,1,3765,4352,1,657,591,0.8995433789954338,86.125,634,0.0,591,89.95433789954338,True
