Genome_ID,Gene,Reference_ID,Chromosome_or_Contig,Strand,Reference_hit_group,Start,End,HSP_count,Query_length,Query_covered_bp,Combined_query_coverage,Weighted_percent_identity,Total_bitscore,Best_evalue,Total_alignment_length,Combined_query_coverage_percent,Pass_coverage_filter
GCA_001292635.1,TRI5,TRI5|Fusarium_pseudograminearum_CS3096,JXCE01000103.1,-,1,25889,26544,1,1128,659,0.5842198581560284,86.536,721,0.0,661,58.42198581560284,False
GCA_001292635.1,TRI12,TRI12|Fusarium_graminearum,JXCE01000103.1,+,1,17871,18467,1,1872,594,0.3173076923076923,80.936,468,7.26e-131,598,31.73076923076923,False
GCA_001292635.1,TRI12,TRI12|Fusarium_pseudograminearum,JXCE01000103.1,+,1,17860,18466,1,1797,604,0.3361157484696717,81.908,508,4.11e-143,608,33.611574846967166,False
GCA_001292635.1,TRI7,TRI7|Fusarium_poae,JXCE01000103.1,-,1,36763,37612,1,1398,849,0.6072961373390557,84.841,854,0.0,851,60.72961373390557,False
GCA_001292635.1,TRI3,TRI3|Fusarium_poae,JXCE01000103.1,-,1,34641,35421,1,1560,781,0.5006410256410256,84.694,778,0.0,784,50.06410256410256,False
GCA_001292635.1,TRI10,TRI10|Fusarium_pseudograminearum_CS3096,JXCE01000103.1,-,1,23938,24816,1,1263,879,0.6959619952494062,86.364,959,0.0,880,69.59619952494062,False
GCA_014898995.1,TRI5,TRI5|Fusarium_graminearum,JAAVUF010000139.1,+,1,53,706,1,1128,657,0.5824468085106383,84.894,656,0.0,662,58.24468085106383,False
GCA_014898995.1,TRI5,TRI5|Fusarium_graminearum,JAAVUF010002526.1,-,1,7,475,1,1128,469,0.4157801418439716,90.832,628,2.0300000000000003e-179,469,41.57801418439716,False
GCA_014898995.1,TRI5,TRI5|Fusarium_graminearum,JAAVUF010002527.1,-,1,12,480,1,1128,469,0.4157801418439716,90.192,612,2.05e-174,469,41.57801418439716,False
GCA_014898995.1,TRI5,TRI5|Fsporotrichioides_NRRL3299,JAAVUF010000139.1,+,1,1,708,1,1185,709,0.5983122362869199,90.577,937,0.0,711,59.83122362869199,False
GCA_014898995.1,TRI5,TRI5|Fsporotrichioides_NRRL3299,JAAVUF010002526.1,-,1,1,475,1,1185,475,0.4008438818565401,90.737,634,0.0,475,40.08438818565401,False
GCA_014898995.1,TRI5,TRI5|Fsporotrichioides_NRRL3299,JAAVUF010002527.1,-,1,1,480,1,1185,480,0.4050632911392405,90.208,627,7.69e-179,480,40.50632911392405,False
GCA_014898995.1,TRI5,TRI5|Fusarium_pseudograminearum_CS3096,JAAVUF010001174.1,-,1,29558,30213,1,1128,659,0.5842198581560284,86.082,704,0.0,661,58.42198581560284,False
GCA_014898995.1,TRI5,TRI5|Fusarium_pseudograminearum_CS3096,JAAVUF010000139.1,+,1,53,708,1,1128,659,0.5842198581560284,85.952,699,0.0,662,58.42198581560284,False
GCA_014898995.1,TRI5,TRI5|Fusarium_pseudograminearum_CS3096,JAAVUF010002526.1,-,1,7,475,1,1128,469,0.4157801418439716,91.045,634,0.0,469,41.57801418439716,False
GCA_014898995.1,TRI5,TRI5|Fusarium_pseudograminearum_CS3096,JAAVUF010002527.1,-,1,12,480,1,1128,469,0.4157801418439716,89.552,595,2.0600000000000002e-169,469,41.57801418439716,False
GCA_014898995.1,TRI5,TRI5|Fusarium_poae,JAAVUF010000139.1,+,1,53,708,1,1134,665,0.5864197530864198,90.226,859,0.0,665,58.64197530864198,False
GCA_014898995.1,TRI5,TRI5|Fusarium_poae,JAAVUF010002526.1,-,1,7,475,1,1134,469,0.41358024691358025,91.045,634,0.0,469,41.358024691358025,False
GCA_014898995.1,TRI5,TRI5|Fusarium_poae,JAAVUF010002527.1,-,1,12,480,1,1134,469,0.41358024691358025,89.979,606,9.58e-173,469,41.358024691358025,False
GCA_014898995.1,TRI12,TRI12|Fusarium_graminearum,JAAVUF010001174.1,+,1,22921,23452,1,1872,533,0.2847222222222222,78.957,357,1.77e-97,537,28.47222222222222,False
GCA_014898995.1,TRI7,TRI7|Fusarium_poae,JAAVUF010001189.1,-,1,1014,1865,1,1398,851,0.6087267525035766,84.291,830,0.0,853,60.87267525035765,False
GCA_014898995.1,TRI3,TRI3|Fusarium_pseudograminearum_CS3096,JAAVUF010002883.1,-,1,1556,2344,1,1554,780,0.5019305019305019,83.65,734,0.0,789,50.19305019305019,False
GCA_014898995.1,TRI3,TRI3|Fusarium_poae,JAAVUF010002883.1,-,1,570,865,2,1560,244,0.1564102564102564,88.57142857142857,297,2.0800000000000002e-36,245,15.64102564102564,False
GCA_014898995.1,TRI3,TRI3|Fusarium_poae,JAAVUF010002883.1,-,2,1556,2336,1,1560,781,0.5006410256410256,85.842,828,0.0,784,50.06410256410256,False
GCA_014898995.1,TRI4,TRI4|F_graminearum_PH-1,JAAVUF010001174.1,+,1,34814,35055,1,1563,242,0.1548304542546385,90.53499999999998,320,1.94e-86,243,15.483045425463851,False
GCA_014898995.1,TRI4,TRI4|Fusarium_pseudograminearum,JAAVUF010001174.1,+,1,34814,35058,1,1563,245,0.15674984005118361,87.398,281,9.14e-75,246,15.674984005118361,False
GCA_014898995.1,TRI10,TRI10|Fusarium_pseudograminearum_CS3096,JAAVUF010001174.1,-,1,27606,28484,1,1263,879,0.6959619952494062,86.023,942,0.0,880,69.59619952494062,False
GCA_016952305.1,TRI12,TRI12|Fusarium_poae,CP064753.1,+,1,5619793,5620407,1,1800,615,0.3416666666666667,80.551,472,5.46e-132,617,34.166666666666664,False
GCA_016952305.1,TRI3,TRI3|Fusarium_poae,CP064753.1,-,1,5637875,5638642,1,1560,774,0.49615384615384617,83.892,732,0.0,776,49.61538461538461,False
GCA_016952355.1,TRI11,TRI11|Fusarium_poae,CP064747.1,-,1,5874868,5876272,2,1479,952,0.6436781609195402,88.02517962184874,1128,0.0,952,64.36781609195403,False
GCA_016952355.1,TRI12,TRI12|Fusarium_poae,CP064747.1,-,1,5878312,5878926,1,1800,615,0.3416666666666667,80.065,455,5.46e-127,617,34.166666666666664,False
GCA_016952355.1,TRI13,TRI13|Fusarium_poae,CP064747.1,-,1,5880460,5881449,1,1764,984,0.5578231292517006,82.028,832,0.0,996,55.78231292517006,False
GCA_016952355.1,TRI3,TRI3|Fusarium_poae,CP064747.1,+,1,5860246,5861016,1,1560,777,0.4980769230769231,83.184,704,0.0,779,49.80769230769231,False
GCA_016952355.1,TRI10,TRI10|Fusarium_poae,CP064747.1,+,1,5871330,5871707,1,1263,378,0.2992874109263658,88.09499999999998,449,1.77e-125,378,29.928741092636578,False
GCA_017656985.1,TRI11,TRI11|Fusarium_poae,JAGDVF010000009.1,+,1,171157,172561,2,1479,952,0.6436781609195402,86.86970273109243,1067,0.0,952,64.36781609195403,False
GCA_017656985.1,TRI10,TRI10|Fusarium_poae,JAGDVF010000009.1,-,1,175715,176092,1,1263,378,0.2992874109263658,88.09499999999998,449,1.71e-125,378,29.928741092636578,False
GCA_018104275.1,TRI5,TRI5|Fusarium_pseudograminearum_CS3096,JAFFKB010000014.1,+,1,4482991,4483646,1,1128,659,0.5842198581560284,86.536,721,0.0,661,58.42198581560284,False
GCA_018104275.1,TRI12,TRI12|Fusarium_graminearum,JAFFKB010000014.1,-,1,4495064,4495660,1,1872,594,0.3173076923076923,80.936,468,1.15e-130,598,31.73076923076923,False
GCA_018104275.1,TRI12,TRI12|Fusarium_pseudograminearum,JAFFKB010000014.1,-,1,4493800,4494247,1,1797,448,0.2493043962159154,78.667,296,5.530000000000001e-79,450,24.930439621591542,False
GCA_018104275.1,TRI12,TRI12|Fusarium_pseudograminearum,JAFFKB010000014.1,-,2,4495065,4495671,1,1797,604,0.3361157484696717,81.908,508,6.53e-143,608,33.611574846967166,False
GCA_018104275.1,TRI7,TRI7|Fusarium_poae,JAFFKB010000014.1,+,1,4471926,4472775,1,1398,849,0.6072961373390557,84.841,854,0.0,851,60.72961373390557,False
GCA_018104275.1,TRI3,TRI3|Fusarium_poae,JAFFKB010000014.1,+,1,4474117,4474897,1,1560,781,0.5006410256410256,84.694,778,0.0,784,50.06410256410256,False
GCA_018104275.1,TRI10,TRI10|Fusarium_pseudograminearum_CS3096,JAFFKB010000014.1,+,1,4484716,4485597,1,1263,882,0.6983372921615202,86.183,953,0.0,883,69.83372921615202,False
GCA_019054615.1,TRI5,TRI5|Fusarium_pseudograminearum_CS3096,JAHKNR010000001.1,-,1,3478024,3478679,1,1128,659,0.5842198581560284,85.628,688,0.0,661,58.42198581560284,False
GCA_019054615.1,TRI11,TRI11|Fusarium_graminearum_PH-1,JAHKNR010000001.1,+,1,3472600,3473384,1,1479,785,0.530764029749831,87.771,918,0.0,785,53.0764029749831,False
GCA_019054615.1,TRI11,TRI11|Fusarium_graminearum_PH-1,JAHKNR010000001.1,+,2,3474068,3474220,1,1479,153,0.10344827586206896,84.314,150,2.3700000000000002e-35,153,10.344827586206897,False
GCA_019054615.1,TRI11,TRI11|Fusarium_pseudograminearum,JAHKNR010000001.1,+,1,3472600,3473384,1,1479,785,0.530764029749831,88.28,941,0.0,785,53.0764029749831,False
GCA_019054615.1,TRI11,TRI11|Fusarium_pseudograminearum,JAHKNR010000001.1,+,2,3474068,3474220,1,1479,153,0.10344827586206896,83.66,145,1.1e-33,153,10.344827586206897,False
GCA_019054615.1,TRI12,TRI12|Fusarium_graminearum,JAHKNR010000001.1,+,1,3471388,3471919,1,1872,533,0.2847222222222222,80.074,390,1.63e-107,537,28.47222222222222,False
