overall_rank,alignment_start,alignment_end,alignment_width_columns,target_length_bp,median_length_bp,min_length_bp,max_length_bp,q10_length_bp,q90_length_bp,mean_candidate_coverage,left_end_coverage,right_end_coverage,left_end_conservation,right_end_conservation,diagnostic_sites_adon,diagnostic_sites_don_niv,diagnostic_sites_t2_typeb,balanced_diagnostic_sites,total_diagnostic_sites,diagnostic_density_adon_per_kb,diagnostic_density_don_niv_per_kb,diagnostic_density_t2_typeb_per_kb,balanced_diagnostic_density_per_kb,all_contrasts_have_diagnostic_sites,within_3adon_max,within_15adon_max,between_3adon_15adon_min,margin_adon,within_don_max,within_niv_max,between_don_niv_min,margin_don_niv,within_t2_max,within_typeb_max,between_t2_typeb_min,margin_t2_typeb,positive_margin_count,balanced_margin,all_margins_positive,minimum_pair_comparable_bp,mean_pair_comparable_bp
1,11701,17456,5756,5000,5000.0,4924,5025,4964.0,5020.8,0.8673822400821869,1.0,1.0,0.9082608695651834,0.9265217391303849,302,84,320,84,706,60.4,16.8,64.0,16.8,True,0.08064516129032258,0.01062337141711766,0.09775349119611415,0.017108329905791572,0.10399351307520778,0.23325062034739455,0.1043811831213406,-0.12886943722605393,0.1987310683585755,0.2476664592408214,0.1080582325199918,-0.1396082267208296,1,-0.1396082267208296,False,4811,4911.426877470356
2,11801,17556,5756,5000,5000.0,4924,5025,4964.0,5020.8,0.8673822400821869,0.9452173913043044,1.0,0.9076086956521795,0.9504347826087178,300,82,319,82,701,60.0,16.4,63.8,16.4,True,0.07778002835730201,0.01062337141711766,0.09694393847399312,0.019163910116691107,0.1025744982769106,0.23180314309346567,0.10301558388990083,-0.12878755920356483,0.19832173557101923,0.24496992325243724,0.10662292392864466,-0.13834699932379257,1,-0.13834699932379257,False,4811,4911.426877470356
3,11701,16941,5241,4500,4500.0,4428,4529,4461.0,4524.8,0.8577437097135491,1.0,1.0,0.9082608695651834,0.9452173913043407,283,78,293,78,654,62.888888888888886,17.333333333333332,65.11111111111111,17.333333333333332,True,0.08402419896930316,0.011125945705384957,0.10011248593925759,0.01608828696995443,0.10793150067598017,0.2443574389682174,0.10904195647296387,-0.13531548249525355,0.20692010015934442,0.25641618497109825,0.1123031271399224,-0.14411305783117584,1,-0.14411305783117584,False,4315,4415.545454545455
4,11801,17041,5241,4500,4500.0,4428,4529,4461.0,4524.8,0.8577437097135491,0.9452173913043044,1.0,0.9076086956521795,0.9217391304347439,281,76,297,76,654,62.44444444444444,16.88888888888889,66.0,16.88888888888889,True,0.08155948913287027,0.010903426791277258,0.09988751406074241,0.01832802492787214,0.10635421360973411,0.24458774758175955,0.10747139331388826,-0.13711635426787128,0.20623719553835648,0.2561849710982659,0.11093357680894773,-0.14525139428931816,1,-0.14525139428931816,False,4315,4415.545454545455
5,12501,17762,5262,5000,5000.0,4917,5018,4957.0,5014.8,0.9487217622659648,0.9052173913043953,1.0,0.9103203661326734,0.9178260869565019,299,76,318,76,693,59.8,15.2,63.6,15.2,True,0.07448526443278158,0.011415982375325456,0.09462452184417153,0.020139257411389944,0.1018837350617784,0.22871900826446281,0.09905184587452089,-0.12966716238994191,0.19770303527481542,0.24134377576257213,0.1028747433264887,-0.13846903243608344,1,-0.13846903243608344,False,4819,4914.193675889328
6,12601,17856,5256,5000,5000.0,4918,5022,4958.0,5013.0,0.9499288597710326,0.9521739130434981,0.9717391304347984,0.9113043478260624,0.9091739130434143,295,71,322,71,688,59.0,14.2,64.4,14.2,True,0.07168820678513732,0.01282051282051282,0.09253671293502314,0.020848506149885815,0.10109400324149109,0.2299111753769882,0.09735940334609958,-0.13255177203088864,0.1995078941972524,0.2408323032550474,0.10449599671525354,-0.13633630653979384,1,-0.13633630653979384,False,4821,4914.640316205534
7,12501,16739,4239,4000,4000.0,3917,4019,3950.0,4017.2,0.9418341077161401,0.9052173913043953,1.0,0.9103203661326734,0.929130434782619,269,67,270,67,606,67.25,16.75,67.5,16.75,True,0.0812515770880646,0.010262828535669587,0.10408266129032258,0.022831084202257976,0.11094186341711094,0.2511059068436118,0.10939868620515412,-0.14170722063845764,0.21638330757341576,0.2635135135135135,0.11136950904392764,-0.15214400446958584,1,-0.15214400446958584,False,3821,3917.098814229249
8,12601,17348,4748,4500,4500.0,4419,4519,4459.0,4516.2,0.9463206475953317,0.9521739130434981,1.0,0.9113043478260624,0.9273913043478024,289,64,297,64,650,64.22222222222223,14.222222222222221,66.0,14.222222222222221,True,0.07506161774591082,0.01045838896306186,0.09863259358888142,0.023570975842970604,0.10572194903889137,0.23831452912733134,0.10049349484073576,-0.1378210342865956,0.20392335766423358,0.25,0.10590118938700824,-0.14409881061299176,1,-0.14409881061299176,False,4323,4417.537549407115
9,12601,16830,4230,4000,4000.0,3920,4020,3953.0,4017.2,0.94395107410834,0.9521739130434981,1.0,0.9113043478260624,0.9491304347825826,268,61,272,61,601,67.0,15.25,68.0,15.25,True,0.07696189755235933,0.01026026026026026,0.10204081632653061,0.025078918774171288,0.10939086294416243,0.25091003640145604,0.10583480676938621,-0.1450752296320698,0.2157014157014157,0.2605652061187451,0.1112832429641105,-0.1492819631546346,1,-0.1492819631546346,False,3825,3918.6561264822135
10,12601,16330,3730,3500,3500.0,3422,3521,3455.0,3519.4,0.9367059097796993,0.9521739130434981,0.9621739130434799,0.9113043478260624,0.9044866642308261,233,56,250,56,539,66.57142857142857,16.0,71.42857142857143,16.0,True,0.08085475021657522,0.011441647597254004,0.10377630441049293,0.022921554193917712,0.1125,0.26710487003286526,0.11043654235328129,-0.15666832767958397,0.22845336481700118,0.27627270020839534,0.1197037037037037,-0.15656899650469164,1,-0.15666832767958397,False,3327,3420.3320158102765
11,12601,14716,2116,2000,2000.0,1965,2017,1975.4,2015.0,0.9432686775704825,0.9521739130434981,1.0,0.9113043478260624,0.9165217391304578,97,50,154,50,301,48.5,25.0,77.0,25.0,True,0.09812847749114821,0.013039117352056168,0.08697838109602815,-0.01115009639512006,0.10005104645227157,0.26534859521331944,0.11818644931227713,-0.14716214590104232,0.23029682702149437,0.27812177502579977,0.12793068297655455,-0.15019109204924522,0,-0.15019109204924522,False,1922,1961.909090909091
12,13101,17794,4694,4500,4500.0,4456,4517,4481.2,4515.0,0.9584761304903617,0.9056521739130767,1.0,0.9162631429382964,0.9139130434782419,271,50,294,50,615,60.22222222222222,11.11111111111111,65.33333333333333,11.11111111111111,True,0.06374412883023932,0.010031208203299153,0.0876010781671159,0.023856949336876584,0.09764837625979843,0.22053145582557349,0.08590604026845637,-0.1346254155571171,0.19044384057971014,0.22996594778660612,0.09362956245749263,-0.1363363853291135,1,-0.1363363853291135,False,4373,4440.905138339921
13,12501,14119,1619,1500,1500.0,1463,1517,1476.4,1513.0,0.9239466122405229,0.9052173913043953,1.0,0.9103203661326734,0.9130434782608426,63,46,110,46,219,42.0,30.666666666666668,73.33333333333333,30.666666666666668,True,0.11554054054054054,0.014056224899598393,0.08797850906648758,-0.027562031474052964,0.11554054054054054,0.2800844475721323,0.13369713506139155,-0.14638731251074075,0.23537508602890572,0.2940766550522648,0.14921286789869953,-0.1448637871535653,0,-0.14638731251074075,False,1420,1461.6640316205533
14,13101,17289,4189,4000,4000.0,3955,4017,3982.8,4016.0,0.9547780418694977,0.9056521739130767,0.908695652173974,0.9162631429382964,0.90705533596838,263,44,264,44,571,65.75,11.0,66.0,11.0,True,0.06708542713567839,0.008278976417461115,0.09240090886139864,0.02531548172572025,0.1021437578814628,0.22905457340507301,0.08916876574307304,-0.13988580766199998,0.19601837672281777,0.2384122919334187,0.09514066496163683,-0.14327162697178186,1,-0.14327162697178186,False,3873,3942.691699604743
15,13101,16770,3670,3500,3500.0,3455,3517,3483.0,3515.8,0.9532282904869125,0.9056521739130767,1.0,0.9162631429382964,0.9460869565217763,242,41,244,41,527,69.14285714285714,11.714285714285714,69.71428571428571,11.714285714285714,True,0.0681230238574303,0.00802982506452538,0.09621496677260907,0.028091942915178775,0.10675129832660127,0.2422907488986784,0.09365124964090779,-0.14863949925777062,0.2087109032446653,0.2508813160987074,0.10058651026392962,-0.15029480583477778,1,-0.15029480583477778,False,3374,3442.810276679842
16,6101,11857,5757,5000,5000.0,4731,5444,4755.0,5122.0,0.8624661093111364,0.9160869565217808,0.9521739130434981,0.9330550222724195,0.9160869565217036,37,78,348,37,463,7.4,15.6,69.6,7.4,True,0.104638619201726,0.04846560846560847,0.00694006309148265,-0.09769855611024335,0.10485436893203884,0.3027844770883578,0.06781802864363942,-0.2349664484447184,0.18927507447864944,0.322397923058768,0.20694528568544315,-0.11545263737332487,0,-0.2349664484447184,False,4236,4702.328063241107
17,13801,17947,4147,4000,4000.0,3930,4023,3967.2,4016.4,0.9633155450246941,1.0,0.9739130434782601,0.9173913043478024,0.925414078674894,255,35,240,35,530,63.75,8.75,60.0,8.75,True,0.05908976615539351,0.012509382036527395,0.08570708343836653,0.026617317282973015,0.09758551307847083,0.20439448134900357,0.07890781563126252,-0.12548666571774103,0.17606532278642512,0.21554589619023268,0.08534085084572014,-0.13020504534451255,1,-0.13020504534451255,False,3883,3948.687747035573
