Genome_ID,Species,Chemotype,Toxin_System,Strain,Chromosome_or_Contig,Locus_ID,Locus_class,Genes,Locus_start,Locus_end,Locus_length_bp,Extract_start,Extract_end,Extract_length_bp,Flank_bp,Genome_fasta,Output_fasta
GCA_001292635.1,Fusarium langsethiae,T-2/HT-2,TRI ,,JXCE01000103.1,GCA_001292635.1|JXCE01000103.1|L1,core_TRI_cluster,"TRI14,TRI13,TRI12,TRI11,TRI9,TRI10,TRI5,TRI6,TRI4,TRI3,TRI8",13420,39610,26191,8420,44610,36191,5000,/mnt/beegfs/home/s486140/final_BGC/genomes/GCA_001292635.1_genomic.fna,/mnt/beegfs/home/s486140/final_BGC/results/extracted_loci/core_TRI_cluster/GCA_001292635.1_JXCE01000103.1_core_TRI_cluster_8420_44610.fna
GCA_001292635.1,Fusarium langsethiae,T-2/HT-2,TRI ,,JXCE01000207.1,GCA_001292635.1|JXCE01000207.1|L1,TRI1_TRI16_locus,"TRI1,TRI16",10377,16311,5935,5377,21311,15935,5000,/mnt/beegfs/home/s486140/final_BGC/genomes/GCA_001292635.1_genomic.fna,/mnt/beegfs/home/s486140/final_BGC/results/extracted_loci/TRI1_TRI16_locus/GCA_001292635.1_JXCE01000207.1_TRI1_TRI16_locus_5377_21311.fna
GCA_001292635.1,Fusarium langsethiae,T-2/HT-2,TRI ,,JXCE01000313.1,GCA_001292635.1|JXCE01000313.1|L1,TRI101_locus,"TRI22,TRI201,TRI101",14750,23318,8569,9750,24364,14615,5000,/mnt/beegfs/home/s486140/final_BGC/genomes/GCA_001292635.1_genomic.fna,/mnt/beegfs/home/s486140/final_BGC/results/extracted_loci/TRI101_locus/GCA_001292635.1_JXCE01000313.1_TRI101_locus_9750_24364.fna
GCA_014898995.1,Fusarium sibiricum,T-2/HT-2 *,TRI ,,JAAVUF010000518.1,GCA_014898995.1|JAAVUF010000518.1|L1,TRI101_locus,"TRI101,TRI201,TRI22",22897,31482,8586,17897,36482,18586,5000,/mnt/beegfs/home/s486140/final_BGC/genomes/GCA_014898995.1_genomic.fna,/mnt/beegfs/home/s486140/final_BGC/results/extracted_loci/TRI101_locus/GCA_014898995.1_JAAVUF010000518.1_TRI101_locus_17897_36482.fna
GCA_014898995.1,Fusarium sibiricum,T-2/HT-2 *,TRI ,,JAAVUF010001174.1,GCA_014898995.1|JAAVUF010001174.1|L1,core_TRI_cluster,"TRI14,TRI13,TRI12,TRI11,TRI9,TRI10,TRI5,TRI6,TRI4",16940,36556,19617,11940,36784,24845,5000,/mnt/beegfs/home/s486140/final_BGC/genomes/GCA_014898995.1_genomic.fna,/mnt/beegfs/home/s486140/final_BGC/results/extracted_loci/core_TRI_cluster/GCA_014898995.1_JAAVUF010001174.1_core_TRI_cluster_11940_36784.fna
GCA_014898995.1,Fusarium sibiricum,T-2/HT-2 *,TRI ,,JAAVUF010001876.1,GCA_014898995.1|JAAVUF010001876.1|L1,TRI1_TRI16_locus,TRI16,3236,4717,1482,1,4790,4790,5000,/mnt/beegfs/home/s486140/final_BGC/genomes/GCA_014898995.1_genomic.fna,/mnt/beegfs/home/s486140/final_BGC/results/extracted_loci/TRI1_TRI16_locus/GCA_014898995.1_JAAVUF010001876.1_TRI1_TRI16_locus_1_4790.fna
GCA_014898995.1,Fusarium sibiricum,T-2/HT-2 *,TRI ,,JAAVUF010001900.1,GCA_014898995.1|JAAVUF010001900.1|L1,TRI1_TRI16_locus,TRI1,2334,4192,1859,1,9192,9192,5000,/mnt/beegfs/home/s486140/final_BGC/genomes/GCA_014898995.1_genomic.fna,/mnt/beegfs/home/s486140/final_BGC/results/extracted_loci/TRI1_TRI16_locus/GCA_014898995.1_JAAVUF010001900.1_TRI1_TRI16_locus_1_9192.fna
GCA_016952305.1,Fusarium pseudograminearum,Not reported ,TRI,,CP064753.1,GCA_016952305.1|CP064753.1|L1,TRI101_locus,"TRI22,TRI201,TRI101",4827157,4835754,8598,4822157,4840754,18598,5000,/mnt/beegfs/home/s486140/final_BGC/genomes/GCA_016952305.1_genomic.fna,/mnt/beegfs/home/s486140/final_BGC/results/extracted_loci/TRI101_locus/GCA_016952305.1_CP064753.1_TRI101_locus_4822157_4840754.fna
GCA_016952305.1,Fusarium pseudograminearum,Not reported ,TRI,,CP064753.1,GCA_016952305.1|CP064753.1|L2,core_TRI_cluster,"TRI14,TRI12,TRI11,TRI9,TRI10,TRI5,TRI6,TRI4,TRI3,TRI7,TRI8",5615272,5642859,27588,5610272,5647859,37588,5000,/mnt/beegfs/home/s486140/final_BGC/genomes/GCA_016952305.1_genomic.fna,/mnt/beegfs/home/s486140/final_BGC/results/extracted_loci/core_TRI_cluster/GCA_016952305.1_CP064753.1_core_TRI_cluster_5610272_5647859.fna
GCA_016952305.1,Fusarium pseudograminearum,Not reported ,TRI,,CP064755.1,GCA_016952305.1|CP064755.1|L1,TRI1_TRI16_locus,TRI1,277910,279663,1754,272910,284663,11754,5000,/mnt/beegfs/home/s486140/final_BGC/genomes/GCA_016952305.1_genomic.fna,/mnt/beegfs/home/s486140/final_BGC/results/extracted_loci/TRI1_TRI16_locus/GCA_016952305.1_CP064755.1_TRI1_TRI16_locus_272910_284663.fna
