Genome_ID,Species,Chemotype,Toxin_System,Chromosome_or_Contig,Locus_ID,Local_Locus_Number,Gene,Start,End,Strand,Gap_to_previous,Gap_to_next,Multiple_hits_for_gene,Multiple_contigs_for_gene,Representative_HSP_count,Query_length,Query_covered_bp,Combined_query_coverage_percent,Weighted_percent_identity,Total_bitscore,Best_evalue
GCA_001292635.1,Fusarium langsethiae,T-2/HT-2,TRI ,JXCE01000009.1,GCA_001292635.1|JXCE01000009.1|L1,1,TRI17,51293,52054,-,,10604.0,False,False,1,756,756,100.0,91.406,1037,0.0
GCA_001292635.1,Fusarium langsethiae,T-2/HT-2,TRI ,JXCE01000009.1,GCA_001292635.1|JXCE01000009.1|L1,1,TRI20,62659,63356,+,10604.0,2640.0,False,False,1,749,698,93.1909212283044,89.398,880,0.0
GCA_001292635.1,Fusarium langsethiae,T-2/HT-2,TRI ,JXCE01000009.1,GCA_001292635.1|JXCE01000009.1|L1,1,TRI21,65997,66790,-,2640.0,,False,False,1,827,794,96.00967351874245,93.325,1173,0.0
GCA_001292635.1,Fusarium langsethiae,T-2/HT-2,TRI ,JXCE01000103.1,GCA_001292635.1|JXCE01000103.1|L1,1,TRI14,13420,14347,-,,896.0,False,False,1,928,925,99.67672413793105,88.865,1138,0.0
GCA_001292635.1,Fusarium langsethiae,T-2/HT-2,TRI ,JXCE01000103.1,GCA_001292635.1|JXCE01000103.1|L1,1,TRI13,15244,17069,+,896.0,779.0,False,False,2,1764,1754,99.43310657596372,85.22895415959252,1805,0.0
GCA_001292635.1,Fusarium langsethiae,T-2/HT-2,TRI ,JXCE01000103.1,GCA_001292635.1|JXCE01000103.1|L1,1,TRI12,17849,19750,+,779.0,609.0,False,False,1,1902,1902,100.0,98.265,3330,0.0
GCA_001292635.1,Fusarium langsethiae,T-2/HT-2,TRI ,JXCE01000103.1,GCA_001292635.1|JXCE01000103.1|L1,1,TRI11,20360,22081,+,609.0,1089.0,False,False,1,1722,1722,100.0,98.60599999999998,3048,0.0
GCA_001292635.1,Fusarium langsethiae,T-2/HT-2,TRI ,JXCE01000103.1,GCA_001292635.1|JXCE01000103.1|L1,1,TRI9,23171,23302,+,1089.0,630.0,False,False,1,132,132,100.0,89.394,167,1.75e-41
GCA_001292635.1,Fusarium langsethiae,T-2/HT-2,TRI ,JXCE01000103.1,GCA_001292635.1|JXCE01000103.1|L1,1,TRI10,23933,25272,-,630.0,616.0,False,False,2,1263,1263,100.0,88.2215604743083,1512,0.0
GCA_001292635.1,Fusarium langsethiae,T-2/HT-2,TRI ,JXCE01000103.1,GCA_001292635.1|JXCE01000103.1|L1,1,TRI5,25889,27072,-,616.0,2297.0,True,True,1,1185,1185,100.0,97.975,2054,0.0
GCA_001292635.1,Fusarium langsethiae,T-2/HT-2,TRI ,JXCE01000103.1,GCA_001292635.1|JXCE01000103.1|L1,1,TRI6,29370,30023,-,2297.0,1120.0,True,True,1,657,657,100.0,92.39,933,0.0
GCA_001292635.1,Fusarium langsethiae,T-2/HT-2,TRI ,JXCE01000103.1,GCA_001292635.1|JXCE01000103.1|L1,1,TRI4,31144,32629,+,1120.0,1477.0,False,False,2,1563,1209,77.35124760076776,85.84387160493827,1285,0.0
GCA_001292635.1,Fusarium langsethiae,T-2/HT-2,TRI ,JXCE01000103.1,GCA_001292635.1|JXCE01000103.1|L1,1,TRI3,34107,35429,-,1477.0,2837.0,False,False,2,1554,1258,80.95238095238095,83.6877730496454,1185,0.0
GCA_001292635.1,Fusarium langsethiae,T-2/HT-2,TRI ,JXCE01000103.1,GCA_001292635.1|JXCE01000103.1|L1,1,TRI8,38267,39610,+,2837.0,,False,False,1,1344,1344,100.0,97.917,2327,0.0
GCA_001292635.1,Fusarium langsethiae,T-2/HT-2,TRI ,JXCE01000207.1,GCA_001292635.1|JXCE01000207.1|L1,1,TRI1,10377,12233,+,,2596.0,False,False,5,1629,1629,100.0,97.00679780085524,2755,0.0
GCA_001292635.1,Fusarium langsethiae,T-2/HT-2,TRI ,JXCE01000207.1,GCA_001292635.1|JXCE01000207.1|L1,1,TRI16,14830,16311,-,2596.0,,False,False,1,1482,1482,100.0,97.908,2566,0.0
GCA_001292635.1,Fusarium langsethiae,T-2/HT-2,TRI ,JXCE01000313.1,GCA_001292635.1|JXCE01000313.1|L1,1,TRI22,14750,16557,-,,1531.0,False,False,3,1681,1679,99.88102320047592,92.30328833629366,2384,0.0
GCA_001292635.1,Fusarium langsethiae,T-2/HT-2,TRI ,JXCE01000313.1,GCA_001292635.1|JXCE01000313.1|L1,1,TRI201,18089,19461,+,1531.0,1344.0,False,False,3,1267,1267,100.0,92.38013275726632,1810,0.0
GCA_001292635.1,Fusarium langsethiae,T-2/HT-2,TRI ,JXCE01000313.1,GCA_001292635.1|JXCE01000313.1|L1,1,TRI101,20806,23318,+,1344.0,,False,False,2,2469,2469,100.0,91.72368631408962,3423,0.0
GCA_001292635.1,Fusarium langsethiae,T-2/HT-2,TRI ,JXCE01000519.1,GCA_001292635.1|JXCE01000519.1|L1,1,TRI6,3765,4352,+,,,True,True,1,657,591,89.95433789954338,91.878,822,0.0
GCA_001292635.1,Fusarium langsethiae,T-2/HT-2,TRI ,JXCE01000757.1,GCA_001292635.1|JXCE01000757.1|L1,1,TRI5,463,1619,+,,,True,True,1,1185,1185,100.0,88.458,1404,0.0
GCA_014898995.1,Fusarium sibiricum,T-2/HT-2 *,TRI ,JAAVUF010000518.1,GCA_014898995.1|JAAVUF010000518.1|L1,1,TRI101,22897,25416,-,,1355.0,False,False,2,2469,2466,99.87849331713244,91.91258026688232,3449,0.0
GCA_014898995.1,Fusarium sibiricum,T-2/HT-2 *,TRI ,JAAVUF010000518.1,GCA_014898995.1|JAAVUF010000518.1|L1,1,TRI201,26772,28140,-,1355.0,1533.0,False,False,3,1267,1267,100.0,92.22309347996855,1795,0.0
GCA_014898995.1,Fusarium sibiricum,T-2/HT-2 *,TRI ,JAAVUF010000518.1,GCA_014898995.1|JAAVUF010000518.1|L1,1,TRI22,29674,31482,+,1533.0,,False,False,3,1681,1679,99.88102320047592,92.48975162625666,2400,0.0
GCA_014898995.1,Fusarium sibiricum,T-2/HT-2 *,TRI ,JAAVUF010000721.1,GCA_014898995.1|JAAVUF010000721.1|L1,1,TRI17,44538,45299,-,,10977.0,False,False,1,756,756,100.0,91.016,1020,0.0
GCA_014898995.1,Fusarium sibiricum,T-2/HT-2 *,TRI ,JAAVUF010000721.1,GCA_014898995.1|JAAVUF010000721.1|L1,1,TRI20,56277,56974,+,10977.0,2676.0,False,False,1,749,698,93.1909212283044,89.971,902,0.0
GCA_014898995.1,Fusarium sibiricum,T-2/HT-2 *,TRI ,JAAVUF010000721.1,GCA_014898995.1|JAAVUF010000721.1|L1,1,TRI21,59651,60444,-,2676.0,,False,False,1,827,794,96.00967351874245,92.821,1151,0.0
GCA_014898995.1,Fusarium sibiricum,T-2/HT-2 *,TRI ,JAAVUF010001174.1,GCA_014898995.1|JAAVUF010001174.1|L1,1,TRI14,16940,17867,-,,1013.0,False,False,1,928,925,99.67672413793105,89.297,1160,0.0
GCA_014898995.1,Fusarium sibiricum,T-2/HT-2 *,TRI ,JAAVUF010001174.1,GCA_014898995.1|JAAVUF010001174.1|L1,1,TRI13,18881,20706,+,1013.0,779.0,False,False,2,1764,1754,99.43310657596372,85.39881380871533,1822,0.0
GCA_014898995.1,Fusarium sibiricum,T-2/HT-2 *,TRI ,JAAVUF010001174.1,GCA_014898995.1|JAAVUF010001174.1|L1,1,TRI12,21486,23387,+,779.0,643.0,False,False,1,1902,1902,100.0,99.054,3413,0.0
GCA_014898995.1,Fusarium sibiricum,T-2/HT-2 *,TRI ,JAAVUF010001174.1,GCA_014898995.1|JAAVUF010001174.1|L1,1,TRI11,24031,25752,+,643.0,1084.0,False,False,1,1722,1722,100.0,98.60599999999998,3048,0.0
GCA_014898995.1,Fusarium sibiricum,T-2/HT-2 *,TRI ,JAAVUF010001174.1,GCA_014898995.1|JAAVUF010001174.1|L1,1,TRI9,26837,26968,+,1084.0,632.0,False,False,1,132,132,100.0,89.394,167,1.89e-41
GCA_014898995.1,Fusarium sibiricum,T-2/HT-2 *,TRI ,JAAVUF010001174.1,GCA_014898995.1|JAAVUF010001174.1|L1,1,TRI10,27601,28940,-,632.0,617.0,False,False,2,1263,1263,100.0,88.2215604743083,1512,0.0
GCA_014898995.1,Fusarium sibiricum,T-2/HT-2 *,TRI ,JAAVUF010001174.1,GCA_014898995.1|JAAVUF010001174.1|L1,1,TRI5,29558,30742,-,617.0,2292.0,False,False,1,1185,1185,100.0,97.806,2045,0.0
GCA_014898995.1,Fusarium sibiricum,T-2/HT-2 *,TRI ,JAAVUF010001174.1,GCA_014898995.1|JAAVUF010001174.1|L1,1,TRI6,33035,33688,-,2292.0,1426.0,True,True,1,657,657,100.0,91.933,917,0.0
GCA_014898995.1,Fusarium sibiricum,T-2/HT-2 *,TRI ,JAAVUF010001174.1,GCA_014898995.1|JAAVUF010001174.1|L1,1,TRI4,35115,36556,+,1426.0,,False,False,3,1563,1311,83.87715930902111,88.25347444698703,1570,0.0
GCA_014898995.1,Fusarium sibiricum,T-2/HT-2 *,TRI ,JAAVUF010001189.1,GCA_014898995.1|JAAVUF010001189.1|L1,1,TRI8,2517,3860,+,,,False,False,1,1344,1344,100.0,98.958,2405,0.0
GCA_014898995.1,Fusarium sibiricum,T-2/HT-2 *,TRI ,JAAVUF010001876.1,GCA_014898995.1|JAAVUF010001876.1|L1,1,TRI16,3236,4717,+,,,False,False,1,1482,1482,100.0,98.718,2632,0.0
GCA_014898995.1,Fusarium sibiricum,T-2/HT-2 *,TRI ,JAAVUF010001900.1,GCA_014898995.1|JAAVUF010001900.1|L1,1,TRI1,2334,4192,-,,,False,False,4,1629,1561,95.82565991405772,98.1495162731334,2736,0.0
GCA_014898995.1,Fusarium sibiricum,T-2/HT-2 *,TRI ,JAAVUF010002821.1,GCA_014898995.1|JAAVUF010002821.1|L1,1,TRI6,325,978,+,,,True,True,1,657,657,100.0,92.39,933,0.0
GCA_016952305.1,Fusarium pseudograminearum,Not reported ,TRI,CP064753.1,GCA_016952305.1|CP064753.1|L1,1,TRI22,4827157,4828970,-,,1529.0,False,False,3,1681,1681,100.0,97.39055634638196,2865,0.0
GCA_016952305.1,Fusarium pseudograminearum,Not reported ,TRI,CP064753.1,GCA_016952305.1|CP064753.1|L1,1,TRI201,4830500,4831873,+,1529.0,1365.0,False,False,3,1267,1267,100.0,95.8330463836478,2053,0.0
GCA_016952305.1,Fusarium pseudograminearum,Not reported ,TRI,CP064753.1,GCA_016952305.1|CP064753.1|L1,1,TRI101,4833239,4835754,+,1365.0,,False,False,2,2469,2467,99.91899554475496,96.35472742000808,4060,0.0
