Genome_ID,Species,Chemotype,Toxin_System,Gene,Chromosome_or_Contig,Start,End,Strand,Multiple_hits_for_gene,Multiple_contigs_for_gene,Representative_HSP_count,Query_length,Query_covered_bp,Combined_query_coverage_percent,Weighted_percent_identity,Total_bitscore,Best_evalue
GCA_001292635.1,Fusarium langsethiae,T-2/HT-2,TRI ,TRI1,JXCE01000207.1,10377,12233,+,False,False,5,1629,1629,100.0,97.00679780085524,2755,0.0
GCA_001292635.1,Fusarium langsethiae,T-2/HT-2,TRI ,TRI10,JXCE01000103.1,23933,25272,-,False,False,2,1263,1263,100.0,88.2215604743083,1512,0.0
GCA_001292635.1,Fusarium langsethiae,T-2/HT-2,TRI ,TRI101,JXCE01000313.1,20806,23318,+,False,False,2,2469,2469,100.0,91.72368631408962,3423,0.0
GCA_001292635.1,Fusarium langsethiae,T-2/HT-2,TRI ,TRI11,JXCE01000103.1,20360,22081,+,False,False,1,1722,1722,100.0,98.60599999999998,3048,0.0
GCA_001292635.1,Fusarium langsethiae,T-2/HT-2,TRI ,TRI12,JXCE01000103.1,17849,19750,+,False,False,1,1902,1902,100.0,98.265,3330,0.0
GCA_001292635.1,Fusarium langsethiae,T-2/HT-2,TRI ,TRI13,JXCE01000103.1,15244,17069,+,False,False,2,1764,1754,99.43310657596372,85.22895415959252,1805,0.0
GCA_001292635.1,Fusarium langsethiae,T-2/HT-2,TRI ,TRI14,JXCE01000103.1,13420,14347,-,False,False,1,928,925,99.67672413793103,88.865,1138,0.0
GCA_001292635.1,Fusarium langsethiae,T-2/HT-2,TRI ,TRI16,JXCE01000207.1,14830,16311,-,False,False,1,1482,1482,100.0,97.90799999999999,2566,0.0
GCA_001292635.1,Fusarium langsethiae,T-2/HT-2,TRI ,TRI17,JXCE01000009.1,51293,52054,-,False,False,1,756,756,100.0,91.406,1037,0.0
GCA_001292635.1,Fusarium langsethiae,T-2/HT-2,TRI ,TRI20,JXCE01000009.1,62659,63356,+,False,False,1,749,698,93.1909212283044,89.398,880,0.0
GCA_001292635.1,Fusarium langsethiae,T-2/HT-2,TRI ,TRI201,JXCE01000313.1,18089,19461,+,False,False,3,1267,1267,100.0,92.38013275726631,1810,0.0
GCA_001292635.1,Fusarium langsethiae,T-2/HT-2,TRI ,TRI21,JXCE01000009.1,65997,66790,-,False,False,1,827,794,96.00967351874245,93.325,1173,0.0
GCA_001292635.1,Fusarium langsethiae,T-2/HT-2,TRI ,TRI22,JXCE01000313.1,14750,16557,-,False,False,3,1681,1679,99.88102320047591,92.30328833629366,2384,0.0
GCA_001292635.1,Fusarium langsethiae,T-2/HT-2,TRI ,TRI3,JXCE01000103.1,34107,35429,-,False,False,2,1554,1258,80.95238095238095,83.6877730496454,1185,0.0
GCA_001292635.1,Fusarium langsethiae,T-2/HT-2,TRI ,TRI4,JXCE01000103.1,31144,32629,+,False,False,2,1563,1209,77.35124760076776,85.84387160493827,1285,0.0
GCA_001292635.1,Fusarium langsethiae,T-2/HT-2,TRI ,TRI5,JXCE01000103.1,25889,27072,-,True,True,1,1185,1185,100.0,97.975,2054,0.0
GCA_001292635.1,Fusarium langsethiae,T-2/HT-2,TRI ,TRI5,JXCE01000757.1,463,1619,+,True,True,1,1185,1185,100.0,88.458,1404,0.0
GCA_001292635.1,Fusarium langsethiae,T-2/HT-2,TRI ,TRI6,JXCE01000103.1,29370,30023,-,True,True,1,657,657,100.0,92.39,933,0.0
GCA_001292635.1,Fusarium langsethiae,T-2/HT-2,TRI ,TRI6,JXCE01000519.1,3765,4352,+,True,True,1,657,591,89.95433789954338,91.878,822,0.0
GCA_001292635.1,Fusarium langsethiae,T-2/HT-2,TRI ,TRI8,JXCE01000103.1,38267,39610,+,False,False,1,1344,1344,100.0,97.917,2327,0.0
GCA_001292635.1,Fusarium langsethiae,T-2/HT-2,TRI ,TRI9,JXCE01000103.1,23171,23302,+,False,False,1,132,132,100.0,89.394,167,1.75e-41
GCA_014898995.1,Fusarium sibiricum,T-2/HT-2 *,TRI ,TRI1,JAAVUF010001900.1,2334,4192,-,False,False,4,1629,1561,95.82565991405771,98.14951627313339,2736,0.0
GCA_014898995.1,Fusarium sibiricum,T-2/HT-2 *,TRI ,TRI10,JAAVUF010001174.1,27601,28940,-,False,False,2,1263,1263,100.0,88.2215604743083,1512,0.0
GCA_014898995.1,Fusarium sibiricum,T-2/HT-2 *,TRI ,TRI101,JAAVUF010000518.1,22897,25416,-,False,False,2,2469,2466,99.87849331713244,91.91258026688233,3449,0.0
GCA_014898995.1,Fusarium sibiricum,T-2/HT-2 *,TRI ,TRI11,JAAVUF010001174.1,24031,25752,+,False,False,1,1722,1722,100.0,98.60599999999998,3048,0.0
GCA_014898995.1,Fusarium sibiricum,T-2/HT-2 *,TRI ,TRI12,JAAVUF010001174.1,21486,23387,+,False,False,1,1902,1902,100.0,99.054,3413,0.0
GCA_014898995.1,Fusarium sibiricum,T-2/HT-2 *,TRI ,TRI13,JAAVUF010001174.1,18881,20706,+,False,False,2,1764,1754,99.43310657596372,85.39881380871533,1822,0.0
