Alignment_order,Genome_ID,MAFFT_header,MAFFT_reverse_complemented,Alignment_length,Gap_count,N_count,Non_gap_length,Species,Chemotype,Chromosome_or_Contig,Genes,Locus_start,Locus_end,Extract_start,Extract_end,Analysis_role,Gap_fraction
1,GCA_001292635.1,"GCA_001292635.1|JXCE01000103.1|core_TRI_cluster|8420-44610|locus=13420-39610|genes=TRI14,TRI13,TRI12,TRI11,TRI9,TRI10,TRI5,TRI6,TRI4,TRI3,TRI8",False,55771,19580,0,36191,Fusarium langsethiae,T-2/HT-2,JXCE01000103.1,"TRI14,TRI13,TRI12,TRI11,TRI9,TRI10,TRI5,TRI6,TRI4,TRI3,TRI8",13420,39610,8420,44610,discovery,0.3510785175090997
2,GCA_014898995.1,"GCA_014898995.1|JAAVUF010001174.1|core_TRI_cluster|11940-36784|locus=16940-36556|genes=TRI14,TRI13,TRI12,TRI11,TRI9,TRI10,TRI5,TRI6,TRI4",False,55771,30926,0,24845,Fusarium sibiricum,T-2/HT-2 *,JAAVUF010001174.1,"TRI14,TRI13,TRI12,TRI11,TRI9,TRI10,TRI5,TRI6,TRI4",16940,36556,11940,36784,validation_unconfirmed,0.554517580821574
3,GCA_016952305.1,"GCA_016952305.1|CP064753.1|core_TRI_cluster|5610272-5647859|locus=5615272-5642859|genes=TRI14,TRI12,TRI11,TRI9,TRI10,TRI5,TRI6,TRI4,TRI3,TRI7,TRI8",False,55771,18183,0,37588,Fusarium pseudograminearum,Not reported,CP064753.1,"TRI14,TRI12,TRI11,TRI9,TRI10,TRI5,TRI6,TRI4,TRI3,TRI7,TRI8",5615272,5642859,5610272,5647859,unlabelled,0.32602965699019204
4,GCA_016952355.1,"_R_GCA_016952355.1|CP064747.1|core_TRI_cluster|5851025-5888459|locus=5856025-5883459|genes=TRI8,TRI7,TRI3,TRI4,TRI6,TRI5,TRI10,TRI9,TRI11,TRI12,TRI14",True,55771,18336,0,37435,Fusarium culmorum,Not reported,CP064747.1,"TRI8,TRI7,TRI3,TRI4,TRI6,TRI5,TRI10,TRI9,TRI11,TRI12,TRI14",5856025,5883459,5851025,5888459,unlabelled,0.32877301823528354
5,GCA_017656985.1,"GCA_017656985.1|JAGDVF010000009.1|core_TRI_cluster|159296-196258|locus=164296-191258|genes=TRI14,TRI12,TRI11,TRI9,TRI10,TRI5,TRI6,TRI4,TRI3,TRI8",False,55771,18808,0,36963,Fusarium boothii,15-ADON,JAGDVF010000009.1,"TRI14,TRI12,TRI11,TRI9,TRI10,TRI5,TRI6,TRI4,TRI3,TRI8",164296,191258,159296,196258,discovery,0.3372361980240627
6,GCA_018104275.1,"_R_GCA_018104275.1|JAFFKB010000014.1|core_TRI_cluster|4464928-4505111|locus=4469928-4500111|genes=TRI8,TRI3,TRI4,TRI6,TRI5,TRI10,TRI9,TRI11,TRI12,TRI13,TRI14",True,55771,15587,0,40184,Fusarium langsethiae,T-2/HT-2,JAFFKB010000014.1,"TRI8,TRI3,TRI4,TRI6,TRI5,TRI10,TRI9,TRI11,TRI12,TRI13,TRI14",4469928,4500111,4464928,4505111,discovery,0.2794821681519069
7,GCA_019054615.1,"GCA_019054615.1|JAHKNR010000001.1|core_TRI_cluster|3460408-3496808|locus=3465408-3491808|genes=TRI14,TRI13,TRI12,TRI11,TRI9,TRI10,TRI5,TRI6,TRI4,TRI3,TRI8",False,55771,19370,0,36401,Fusarium sporotrichioides,T-2/HT-2 *,JAHKNR010000001.1,"TRI14,TRI13,TRI12,TRI11,TRI9,TRI10,TRI5,TRI6,TRI4,TRI3,TRI8",3465408,3491808,3460408,3496808,validation_unconfirmed,0.3473131197217192
8,GCA_019054645.1,"GCA_019054645.1|JAHKNS010000002.1|core_TRI_cluster|3576809-3613175|locus=3581809-3608175|genes=TRI14,TRI13,TRI12,TRI11,TRI9,TRI10,TRI5,TRI6,TRI4,TRI8",False,55771,19404,0,36367,Fusarium sporotrichioides,T-2/HT-2 *,JAHKNS010000002.1,"TRI14,TRI13,TRI12,TRI11,TRI9,TRI10,TRI5,TRI6,TRI4,TRI8",3581809,3608175,3576809,3613175,validation_unconfirmed,0.34792275555396174
9,GCA_019343145.1,"GCA_019343145.1|CP079829.1|core_TRI_cluster|3580848-3617795|locus=3585848-3612795|genes=TRI14,TRI12,TRI11,TRI9,TRI10,TRI5,TRI6,TRI4,TRI3,TRI8",False,55771,18823,0,36948,Fusarium graminearum,15-ADON,CP079829.1,"TRI14,TRI12,TRI11,TRI9,TRI10,TRI5,TRI6,TRI4,TRI3,TRI8",3585848,3612795,3580848,3617795,discovery,0.33750515500887557
10,GCA_020991245.1,"_R_GCA_020991245.1|CP087872.1|core_TRI_cluster|5387461-5424477|locus=5392461-5419477|genes=TRI8,TRI3,TRI4,TRI6,TRI5,TRI10,TRI9,TRI11,TRI12,TRI14",True,55771,18754,0,37017,Fusarium graminearum,15-ADON,CP087872.1,"TRI8,TRI3,TRI4,TRI6,TRI5,TRI10,TRI9,TRI11,TRI12,TRI14",5392461,5419477,5387461,5424477,discovery,0.3362679528787363
11,GCA_025258505.1,"_R_GCA_025258505.1|CP088258.1|core_TRI_cluster|5453486-5491107|locus=5458486-5486107|genes=TRI8,TRI7,TRI3,TRI4,TRI6,TRI5,TRI10,TRI9,TRI11,TRI12,TRI14",True,55771,18149,0,37622,Fusarium asiaticum,NIV,CP088258.1,"TRI8,TRI7,TRI3,TRI4,TRI6,TRI5,TRI10,TRI9,TRI11,TRI12,TRI14",5458486,5486107,5453486,5491107,discovery,0.3254200211579495
12,GCA_032355295.1,"_R_GCA_032355295.1|CP126885.1|core_TRI_cluster|5497351-5534946|locus=5502351-5529946|genes=TRI8,TRI7,TRI3,TRI4,TRI6,TRI5,TRI10,TRI9,TRI11,TRI12,TRI14",True,55771,18175,0,37596,Fusarium meridionale,NIV,CP126885.1,"TRI8,TRI7,TRI3,TRI4,TRI6,TRI5,TRI10,TRI9,TRI11,TRI12,TRI14",5502351,5529946,5497351,5534946,discovery,0.3258862132649585
13,GCA_037074405.1,"_R_GCA_037074405.1|CM073625.1|core_TRI_cluster|5454538-5491586|locus=5459538-5486586|genes=TRI8,TRI3,TRI4,TRI6,TRI5,TRI10,TRI9,TRI11,TRI12,TRI14",True,55771,18722,0,37049,Fusarium graminearum,15-ADON,CM073625.1,"TRI8,TRI3,TRI4,TRI6,TRI5,TRI10,TRI9,TRI11,TRI12,TRI14",5459538,5486586,5454538,5491586,discovery,0.3356941779778021
14,GCA_037213105.1,"_R_GCA_037213105.1|CP147678.1|core_TRI_cluster|5380139-5414873|locus=5385139-5409873|genes=TRI8,TRI3,TRI4,TRI6,TRI5,TRI10,TRI9,TRI11,TRI12,TRI14",True,55771,21036,0,34735,Fusarium graminearum,3-ADON,CP147678.1,"TRI8,TRI3,TRI4,TRI6,TRI5,TRI10,TRI9,TRI11,TRI12,TRI14",5385139,5409873,5380139,5414873,discovery,0.3771852755016048
15,GCA_037255895.1,"_R_GCA_037255895.1|CP147673.1|core_TRI_cluster|5434173-5471144|locus=5439173-5466144|genes=TRI8,TRI3,TRI4,TRI6,TRI5,TRI10,TRI9,TRI11,TRI12,TRI14",True,55771,18799,0,36972,Fusarium graminearum,15-ADON,CP147673.1,"TRI8,TRI3,TRI4,TRI6,TRI5,TRI10,TRI9,TRI11,TRI12,TRI14",5439173,5466144,5434173,5471144,discovery,0.33707482383317494
16,GCA_041870755.1,"GCA_041870755.1|CP167250.1|core_TRI_cluster|3726431-3763527|locus=3731431-3758527|genes=TRI14,TRI13,TRI12,TRI11,TRI9,TRI10,TRI5,TRI6,TRI4,TRI3,TRI7,TRI8",False,55771,18674,0,37097,Fusarium sambucinum,T-2/HT-2 *,CP167250.1,"TRI14,TRI13,TRI12,TRI11,TRI9,TRI10,TRI5,TRI6,TRI4,TRI3,TRI7,TRI8",3731431,3758527,3726431,3763527,validation_unconfirmed,0.3348335156264008
17,GCA_046056315.1,"_R_GCA_046056315.1|CM100255.1|core_TRI_cluster|5846507-5886662|locus=5851507-5881662|genes=TRI8,TRI7,TRI3,TRI4,TRI6,TRI5,TRI10,TRI9,TRI11,TRI12,TRI13,TRI14",True,55771,15615,0,40156,Fusarium poae,NIV,CM100255.1,"TRI8,TRI7,TRI3,TRI4,TRI6,TRI5,TRI10,TRI9,TRI11,TRI12,TRI13,TRI14",5851507,5881662,5846507,5886662,discovery,0.2799842211902243
18,GCA_050916195.1,"_R_GCA_050916195.1|CP099493.1|core_TRI_cluster|5449195-5484208|locus=5454195-5479208|genes=TRI8,TRI3,TRI4,TRI6,TRI5,TRI10,TRI9,TRI11,TRI12,TRI14",True,55771,20757,0,35014,Fusarium asiaticum,3-ADON,CP099493.1,"TRI8,TRI3,TRI4,TRI6,TRI5,TRI10,TRI9,TRI11,TRI12,TRI14",5454195,5479208,5449195,5484208,discovery,0.3721826755840849
19,GCA_051903665.1,"_R_GCA_051903665.1|CM122891.1|core_TRI_cluster|5492267-5529862|locus=5497267-5524862|genes=TRI8,TRI7,TRI3,TRI4,TRI6,TRI5,TRI10,TRI9,TRI11,TRI12,TRI14",True,55771,18175,0,37596,Fusarium graminearum,Not reported,CM122891.1,"TRI8,TRI7,TRI3,TRI4,TRI6,TRI5,TRI10,TRI9,TRI11,TRI12,TRI14",5497267,5524862,5492267,5529862,unlabelled,0.3258862132649585
20,GCA_054553065.1,"GCA_054553065.1|CM137278.1|core_TRI_cluster|3511325-3548776|locus=3516325-3543776|genes=TRI14,TRI12,TRI11,TRI9,TRI10,TRI5,TRI6,TRI4,TRI3,TRI7,TRI8",False,55771,18319,0,37452,Fusarium cerealis,NIV,CM137278.1,"TRI14,TRI12,TRI11,TRI9,TRI10,TRI5,TRI6,TRI4,TRI3,TRI7,TRI8",3516325,3543776,3511325,3548776,discovery,0.3284682003191623
21,GCA_900007375.1,"_R_GCA_900007375.1|LN649230.1|core_TRI_cluster|5599849-5636982|locus=5604849-5631982|genes=TRI8,TRI7,TRI3,TRI4,TRI6,TRI5,TRI10,TRI9,TRI11,TRI12,TRI13,TRI14",True,55771,18637,0,37134,Fusarium venenatum,NP,LN649230.1,"TRI8,TRI7,TRI3,TRI4,TRI6,TRI5,TRI10,TRI9,TRI11,TRI12,TRI13,TRI14",5604849,5631982,5599849,5636982,negative_control,0.3341700883971957
22,GCA_900044135.1,"_R_GCA_900044135.1|HG970333.1|core_TRI_cluster|5387461-5424477|locus=5392461-5419477|genes=TRI8,TRI3,TRI4,TRI6,TRI5,TRI10,TRI9,TRI11,TRI12,TRI14",True,55771,18754,0,37017,Fusarium graminearum,15-ADON,HG970333.1,"TRI8,TRI3,TRI4,TRI6,TRI5,TRI10,TRI9,TRI11,TRI12,TRI14",5392461,5419477,5387461,5424477,discovery,0.3362679528787363
23,GCA_900074845.1,"_R_GCA_900074845.1|LT598660.1|core_TRI_cluster|5583614-5619290|locus=5588614-5614290|genes=TRI8,TRI3,TRI4,TRI6,TRI5,TRI10,TRI9,TRI11,TRI12,TRI14",True,55771,20094,508,35677,Fusarium culmorum,3-ADON,LT598660.1,"TRI8,TRI3,TRI4,TRI6,TRI5,TRI10,TRI9,TRI11,TRI12,TRI14",5588614,5614290,5583614,5619290,discovery,0.36029477685535494
24,GCF_000240135.3,"GCF_000240135.3|NC_026475.1|core_TRI_cluster|6630631-6667647|locus=6635631-6662647|genes=TRI14,TRI12,TRI11,TRI9,TRI10,TRI5,TRI6,TRI4,TRI3,TRI8",False,55771,18754,0,37017,Fusarium graminearum,15-ADON,NC_026475.1,"TRI14,TRI12,TRI11,TRI9,TRI10,TRI5,TRI6,TRI4,TRI3,TRI8",6635631,6662647,6630631,6667647,discovery,0.3362679528787363
25,GCF_000303195.2,"_R_GCF_000303195.2|NC_031952.1|core_TRI_cluster|5409651-5444867|locus=5414651-5439867|genes=TRI8,TRI3,TRI4,TRI6,TRI5,TRI10,TRI9,TRI11,TRI12,TRI14",True,55771,20554,0,35217,Fusarium pseudograminearum,3-ADON,NC_031952.1,"TRI8,TRI3,TRI4,TRI6,TRI5,TRI10,TRI9,TRI11,TRI12,TRI14",5414651,5439867,5409651,5444867,discovery,0.36854279105628374
26,GCF_019609905.1,"_R_GCF_019609905.1|NC_058400.1|core_TRI_cluster|5858037-5898215|locus=5863037-5893215|genes=TRI8,TRI7,TRI3,TRI4,TRI6,TRI5,TRI10,TRI9,TRI11,TRI12,TRI13,TRI14",True,55771,15592,0,40179,Fusarium poae,NIV,NC_058400.1,"TRI8,TRI7,TRI3,TRI4,TRI6,TRI5,TRI10,TRI9,TRI11,TRI12,TRI13,TRI14",5863037,5893215,5858037,5898215,discovery,0.27957182048017787
27,GCF_050947815.1,"GCF_050947815.1|NC_139293.1|core_TRI_cluster|3751792-3788918|locus=3756792-3783918|genes=TRI14,TRI13,TRI12,TRI11,TRI9,TRI10,TRI5,TRI6,TRI4,TRI3,TRI7,TRI8",False,55771,18644,0,37127,Fusarium sambucinum,T-2/HT-2 *,NC_139293.1,"TRI14,TRI13,TRI12,TRI11,TRI9,TRI10,TRI5,TRI6,TRI4,TRI3,TRI7,TRI8",3756792,3783918,3751792,3788918,validation_unconfirmed,0.334295601656775
