Genome_ID,Species,Chemotype,Toxin_System,Chromosome_or_Contig,Locus_ID,Locus_start,Locus_end,Locus_length_bp,Number_of_hits,Number_of_unique_genes,Maximum_gap_bp,Genes
GCA_001292635.1,Fusarium langsethiae,T-2/HT-2,TRI ,JXCE01000009.1,GCA_001292635.1|JXCE01000009.1|L1,51293,66790,15498,3,3,10604,"TRI17,TRI20,TRI21"
GCA_001292635.1,Fusarium langsethiae,T-2/HT-2,TRI ,JXCE01000103.1,GCA_001292635.1|JXCE01000103.1|L1,13420,39610,26191,11,11,2837,"TRI14,TRI13,TRI12,TRI11,TRI9,TRI10,TRI5,TRI6,TRI4,TRI3,TRI8"
GCA_001292635.1,Fusarium langsethiae,T-2/HT-2,TRI ,JXCE01000207.1,GCA_001292635.1|JXCE01000207.1|L1,10377,16311,5935,2,2,2596,"TRI1,TRI16"
GCA_001292635.1,Fusarium langsethiae,T-2/HT-2,TRI ,JXCE01000313.1,GCA_001292635.1|JXCE01000313.1|L1,14750,23318,8569,3,3,1531,"TRI22,TRI201,TRI101"
GCA_001292635.1,Fusarium langsethiae,T-2/HT-2,TRI ,JXCE01000519.1,GCA_001292635.1|JXCE01000519.1|L1,3765,4352,588,1,1,0,TRI6
GCA_001292635.1,Fusarium langsethiae,T-2/HT-2,TRI ,JXCE01000757.1,GCA_001292635.1|JXCE01000757.1|L1,463,1619,1157,1,1,0,TRI5
GCA_014898995.1,Fusarium sibiricum,T-2/HT-2 *,TRI ,JAAVUF010000518.1,GCA_014898995.1|JAAVUF010000518.1|L1,22897,31482,8586,3,3,1533,"TRI101,TRI201,TRI22"
GCA_014898995.1,Fusarium sibiricum,T-2/HT-2 *,TRI ,JAAVUF010000721.1,GCA_014898995.1|JAAVUF010000721.1|L1,44538,60444,15907,3,3,10977,"TRI17,TRI20,TRI21"
GCA_014898995.1,Fusarium sibiricum,T-2/HT-2 *,TRI ,JAAVUF010001174.1,GCA_014898995.1|JAAVUF010001174.1|L1,16940,36556,19617,9,9,2292,"TRI14,TRI13,TRI12,TRI11,TRI9,TRI10,TRI5,TRI6,TRI4"
GCA_014898995.1,Fusarium sibiricum,T-2/HT-2 *,TRI ,JAAVUF010001189.1,GCA_014898995.1|JAAVUF010001189.1|L1,2517,3860,1344,1,1,0,TRI8
GCA_014898995.1,Fusarium sibiricum,T-2/HT-2 *,TRI ,JAAVUF010001876.1,GCA_014898995.1|JAAVUF010001876.1|L1,3236,4717,1482,1,1,0,TRI16
GCA_014898995.1,Fusarium sibiricum,T-2/HT-2 *,TRI ,JAAVUF010001900.1,GCA_014898995.1|JAAVUF010001900.1|L1,2334,4192,1859,1,1,0,TRI1
GCA_014898995.1,Fusarium sibiricum,T-2/HT-2 *,TRI ,JAAVUF010002821.1,GCA_014898995.1|JAAVUF010002821.1|L1,325,978,654,1,1,0,TRI6
GCA_016952305.1,Fusarium pseudograminearum,Not reported ,TRI,CP064753.1,GCA_016952305.1|CP064753.1|L1,4827157,4835754,8598,3,3,1529,"TRI22,TRI201,TRI101"
GCA_016952305.1,Fusarium pseudograminearum,Not reported ,TRI,CP064753.1,GCA_016952305.1|CP064753.1|L2,5615272,5642859,27588,11,11,3348,"TRI14,TRI12,TRI11,TRI9,TRI10,TRI5,TRI6,TRI4,TRI3,TRI7,TRI8"
GCA_016952305.1,Fusarium pseudograminearum,Not reported ,TRI,CP064755.1,GCA_016952305.1|CP064755.1|L1,277910,279663,1754,1,1,0,TRI1
