Genome_ID,Species,Chemotype,Toxin_System,Strain,Chromosome_or_Contig,Locus_ID,Locus_class,Genes,Locus_start,Locus_end,Locus_length_bp,Extract_start,Extract_end,Extract_length_bp,Flank_bp,Genome_fasta,Output_fasta,Separation_group,Evidence_status,FASTA_header
GCA_001292635.1,Fusarium langsethiae,T-2/HT-2,TRI ,,JXCE01000103.1,GCA_001292635.1|JXCE01000103.1|L1,core_TRI_cluster,"TRI14,TRI13,TRI12,TRI11,TRI9,TRI10,TRI5,TRI6,TRI4,TRI3,TRI8",13420,39610,26191,8420,44610,36191,5000,/mnt/beegfs/home/s486140/final_BGC/genomes/GCA_001292635.1_genomic.fna,/mnt/beegfs/home/s486140/final_BGC/results/extracted_loci/core_TRI_cluster/GCA_001292635.1_JXCE01000103.1_core_TRI_cluster_8420_44610.fna,T-2/HT-2,confirmed,"GCA_001292635.1|JXCE01000103.1|core_TRI_cluster|8420-44610|locus=13420-39610|genes=TRI14,TRI13,TRI12,TRI11,TRI9,TRI10,TRI5,TRI6,TRI4,TRI3,TRI8_(bases_43_to_36191)"
GCA_014898995.1,Fusarium sibiricum,T-2/HT-2 *,TRI ,,JAAVUF010001174.1,GCA_014898995.1|JAAVUF010001174.1|L1,core_TRI_cluster,"TRI14,TRI13,TRI12,TRI11,TRI9,TRI10,TRI5,TRI6,TRI4",16940,36556,19617,11940,36784,24845,5000,/mnt/beegfs/home/s486140/final_BGC/genomes/GCA_014898995.1_genomic.fna,/mnt/beegfs/home/s486140/final_BGC/results/extracted_loci/core_TRI_cluster/GCA_014898995.1_JAAVUF010001174.1_core_TRI_cluster_11940_36784.fna,T-2/HT-2,inferred,"GCA_014898995.1|JAAVUF010001174.1|core_TRI_cluster|11940-36784|locus=16940-36556|genes=TRI14,TRI13,TRI12,TRI11,TRI9,TRI10,TRI5,TRI6,TRI4_(bases_2_to_24832)"
GCA_017656985.1,Fusarium boothii,15-ADON,TRI,,JAGDVF010000009.1,GCA_017656985.1|JAGDVF010000009.1|L1,core_TRI_cluster,"TRI14,TRI12,TRI11,TRI9,TRI10,TRI5,TRI6,TRI4,TRI3,TRI8",164296,191258,26963,159296,196258,36963,5000,/mnt/beegfs/home/s486140/final_BGC/genomes/GCA_017656985.1_genomic.fna,/mnt/beegfs/home/s486140/final_BGC/results/extracted_loci/core_TRI_cluster/GCA_017656985.1_JAGDVF010000009.1_core_TRI_cluster_159296_196258.fna,15-ADON,confirmed,"GCA_017656985.1|JAGDVF010000009.1|core_TRI_cluster|159296-196258|locus=164296-191258|genes=TRI14,TRI12,TRI11,TRI9,TRI10,TRI5,TRI6,TRI4,TRI3,TRI8_(bases_1_to_36963)"
GCA_018104275.1,Fusarium langsethiae,T-2/HT-2,TRI ,,JAFFKB010000014.1,GCA_018104275.1|JAFFKB010000014.1|L2,core_TRI_cluster,"TRI8,TRI3,TRI4,TRI6,TRI5,TRI10,TRI9,TRI11,TRI12,TRI13,TRI14",4469928,4500111,30184,4464928,4505111,40184,5000,/mnt/beegfs/home/s486140/final_BGC/genomes/GCA_018104275.1_genomic.fna,/mnt/beegfs/home/s486140/final_BGC/results/extracted_loci/core_TRI_cluster/GCA_018104275.1_JAFFKB010000014.1_core_TRI_cluster_4464928_4505111.fna,T-2/HT-2,confirmed,"GCA_018104275.1|JAFFKB010000014.1|core_TRI_cluster|4464928-4505111|locus=4469928-4500111|genes=TRI8,TRI3,TRI4,TRI6,TRI5,TRI10,TRI9,TRI11,TRI12,TRI13,TRI14_(bases_38098_to_3)"
GCA_019054615.1,Fusarium sporotrichioides,T-2/HT-2 *,TRI,,JAHKNR010000001.1,GCA_019054615.1|JAHKNR010000001.1|L1,core_TRI_cluster,"TRI14,TRI13,TRI12,TRI11,TRI9,TRI10,TRI5,TRI6,TRI4,TRI3,TRI8",3465408,3491808,26401,3460408,3496808,36401,5000,/mnt/beegfs/home/s486140/final_BGC/genomes/GCA_019054615.1_genomic.fna,/mnt/beegfs/home/s486140/final_BGC/results/extracted_loci/core_TRI_cluster/GCA_019054615.1_JAHKNR010000001.1_core_TRI_cluster_3460408_3496808.fna,T-2/HT-2,inferred,"GCA_019054615.1|JAHKNR010000001.1|core_TRI_cluster|3460408-3496808|locus=3465408-3491808|genes=TRI14,TRI13,TRI12,TRI11,TRI9,TRI10,TRI5,TRI6,TRI4,TRI3,TRI8_(bases_1_to_36401)"
GCA_019054645.1,Fusarium sporotrichioides,T-2/HT-2 *,TRI,,JAHKNS010000002.1,GCA_019054645.1|JAHKNS010000002.1|L1,core_TRI_cluster,"TRI14,TRI13,TRI12,TRI11,TRI9,TRI10,TRI5,TRI6,TRI4,TRI8",3581809,3608175,26367,3576809,3613175,36367,5000,/mnt/beegfs/home/s486140/final_BGC/genomes/GCA_019054645.1_genomic.fna,/mnt/beegfs/home/s486140/final_BGC/results/extracted_loci/core_TRI_cluster/GCA_019054645.1_JAHKNS010000002.1_core_TRI_cluster_3576809_3613175.fna,T-2/HT-2,inferred,"GCA_019054645.1|JAHKNS010000002.1|core_TRI_cluster|3576809-3613175|locus=3581809-3608175|genes=TRI14,TRI13,TRI12,TRI11,TRI9,TRI10,TRI5,TRI6,TRI4,TRI8_(bases_1_to_36362)"
GCA_019343145.1,Fusarium graminearum,15-ADON,TRI,,CP079829.1,GCA_019343145.1|CP079829.1|L1,core_TRI_cluster,"TRI14,TRI12,TRI11,TRI9,TRI10,TRI5,TRI6,TRI4,TRI3,TRI8",3585848,3612795,26948,3580848,3617795,36948,5000,/mnt/beegfs/home/s486140/final_BGC/genomes/GCA_019343145.1_genomic.fna,/mnt/beegfs/home/s486140/final_BGC/results/extracted_loci/core_TRI_cluster/GCA_019343145.1_CP079829.1_core_TRI_cluster_3580848_3617795.fna,15-ADON,confirmed,"GCA_019343145.1|CP079829.1|core_TRI_cluster|3580848-3617795|locus=3585848-3612795|genes=TRI14,TRI12,TRI11,TRI9,TRI10,TRI5,TRI6,TRI4,TRI3,TRI8_(bases_2_to_36946)"
GCA_020991245.1,Fusarium graminearum,15-ADON,TRI,,CP087872.1,GCA_020991245.1|CP087872.1|L2,core_TRI_cluster,"TRI8,TRI3,TRI4,TRI6,TRI5,TRI10,TRI9,TRI11,TRI12,TRI14",5392461,5419477,27017,5387461,5424477,37017,5000,/mnt/beegfs/home/s486140/final_BGC/genomes/GCA_020991245.1_genomic.fna,/mnt/beegfs/home/s486140/final_BGC/results/extracted_loci/core_TRI_cluster/GCA_020991245.1_CP087872.1_core_TRI_cluster_5387461_5424477.fna,15-ADON,confirmed,"GCA_020991245.1|CP087872.1|core_TRI_cluster|5387461-5424477|locus=5392461-5419477|genes=TRI8,TRI3,TRI4,TRI6,TRI5,TRI10,TRI9,TRI11,TRI12,TRI14_(bases_37017_to_1)"
GCA_025258505.1,Fusarium asiaticum,NIV,TRI,,CP088258.1,GCA_025258505.1|CP088258.1|L2,core_TRI_cluster,"TRI8,TRI7,TRI3,TRI4,TRI6,TRI5,TRI10,TRI9,TRI11,TRI12,TRI14",5458486,5486107,27622,5453486,5491107,37622,5000,/mnt/beegfs/home/s486140/final_BGC/genomes/GCA_025258505.1_genomic.fna,/mnt/beegfs/home/s486140/final_BGC/results/extracted_loci/core_TRI_cluster/GCA_025258505.1_CP088258.1_core_TRI_cluster_5453486_5491107.fna,NIV,confirmed,"GCA_025258505.1|CP088258.1|core_TRI_cluster|5453486-5491107|locus=5458486-5486107|genes=TRI8,TRI7,TRI3,TRI4,TRI6,TRI5,TRI10,TRI9,TRI11,TRI12,TRI14_(bases_37620_to_1)"
GCA_032355295.1,Fusarium meridionale,NIV,TRI,,CP126885.1,GCA_032355295.1|CP126885.1|L2,core_TRI_cluster,"TRI8,TRI7,TRI3,TRI4,TRI6,TRI5,TRI10,TRI9,TRI11,TRI12,TRI14",5502351,5529946,27596,5497351,5534946,37596,5000,/mnt/beegfs/home/s486140/final_BGC/genomes/GCA_032355295.1_genomic.fna,/mnt/beegfs/home/s486140/final_BGC/results/extracted_loci/core_TRI_cluster/GCA_032355295.1_CP126885.1_core_TRI_cluster_5497351_5534946.fna,NIV,confirmed,"GCA_032355295.1|CP126885.1|core_TRI_cluster|5497351-5534946|locus=5502351-5529946|genes=TRI8,TRI7,TRI3,TRI4,TRI6,TRI5,TRI10,TRI9,TRI11,TRI12,TRI14_(bases_37596_to_1)"
