Genome_ID,Species,Chemotype,Toxin_System,Strain,Chromosome_or_Contig,Locus_ID,Locus_class,Genes,Locus_start,Locus_end,Locus_length_bp,Extract_start,Extract_end,Extract_length_bp,Flank_bp,Genome_fasta,Output_fasta,Separation_group,Evidence_status,FASTA_header
GCA_017656985.1,Fusarium boothii,15-ADON,TRI,,JAGDVF010000009.1,GCA_017656985.1|JAGDVF010000009.1|L1,core_TRI_cluster,"TRI14,TRI12,TRI11,TRI9,TRI10,TRI5,TRI6,TRI4,TRI3,TRI8",164296,191258,26963,159296,196258,36963,5000,/mnt/beegfs/home/s486140/final_BGC/genomes/GCA_017656985.1_genomic.fna,/mnt/beegfs/home/s486140/final_BGC/results/extracted_loci/core_TRI_cluster/GCA_017656985.1_JAGDVF010000009.1_core_TRI_cluster_159296_196258.fna,15-ADON,confirmed,"GCA_017656985.1|JAGDVF010000009.1|core_TRI_cluster|159296-196258|locus=164296-191258|genes=TRI14,TRI12,TRI11,TRI9,TRI10,TRI5,TRI6,TRI4,TRI3,TRI8"
GCA_019343145.1,Fusarium graminearum,15-ADON,TRI,,CP079829.1,GCA_019343145.1|CP079829.1|L1,core_TRI_cluster,"TRI14,TRI12,TRI11,TRI9,TRI10,TRI5,TRI6,TRI4,TRI3,TRI8",3585848,3612795,26948,3580848,3617795,36948,5000,/mnt/beegfs/home/s486140/final_BGC/genomes/GCA_019343145.1_genomic.fna,/mnt/beegfs/home/s486140/final_BGC/results/extracted_loci/core_TRI_cluster/GCA_019343145.1_CP079829.1_core_TRI_cluster_3580848_3617795.fna,15-ADON,confirmed,"GCA_019343145.1|CP079829.1|core_TRI_cluster|3580848-3617795|locus=3585848-3612795|genes=TRI14,TRI12,TRI11,TRI9,TRI10,TRI5,TRI6,TRI4,TRI3,TRI8"
GCA_020991245.1,Fusarium graminearum,15-ADON,TRI,,CP087872.1,GCA_020991245.1|CP087872.1|L2,core_TRI_cluster,"TRI8,TRI3,TRI4,TRI6,TRI5,TRI10,TRI9,TRI11,TRI12,TRI14",5392461,5419477,27017,5387461,5424477,37017,5000,/mnt/beegfs/home/s486140/final_BGC/genomes/GCA_020991245.1_genomic.fna,/mnt/beegfs/home/s486140/final_BGC/results/extracted_loci/core_TRI_cluster/GCA_020991245.1_CP087872.1_core_TRI_cluster_5387461_5424477.fna,15-ADON,confirmed,"_R_GCA_020991245.1|CP087872.1|core_TRI_cluster|5387461-5424477|locus=5392461-5419477|genes=TRI8,TRI3,TRI4,TRI6,TRI5,TRI10,TRI9,TRI11,TRI12,TRI14"
GCA_025258505.1,Fusarium asiaticum,NIV,TRI,,CP088258.1,GCA_025258505.1|CP088258.1|L2,core_TRI_cluster,"TRI8,TRI7,TRI3,TRI4,TRI6,TRI5,TRI10,TRI9,TRI11,TRI12,TRI14",5458486,5486107,27622,5453486,5491107,37622,5000,/mnt/beegfs/home/s486140/final_BGC/genomes/GCA_025258505.1_genomic.fna,/mnt/beegfs/home/s486140/final_BGC/results/extracted_loci/core_TRI_cluster/GCA_025258505.1_CP088258.1_core_TRI_cluster_5453486_5491107.fna,NIV,confirmed,"_R_GCA_025258505.1|CP088258.1|core_TRI_cluster|5453486-5491107|locus=5458486-5486107|genes=TRI8,TRI7,TRI3,TRI4,TRI6,TRI5,TRI10,TRI9,TRI11,TRI12,TRI14"
GCA_032355295.1,Fusarium meridionale,NIV,TRI,,CP126885.1,GCA_032355295.1|CP126885.1|L2,core_TRI_cluster,"TRI8,TRI7,TRI3,TRI4,TRI6,TRI5,TRI10,TRI9,TRI11,TRI12,TRI14",5502351,5529946,27596,5497351,5534946,37596,5000,/mnt/beegfs/home/s486140/final_BGC/genomes/GCA_032355295.1_genomic.fna,/mnt/beegfs/home/s486140/final_BGC/results/extracted_loci/core_TRI_cluster/GCA_032355295.1_CP126885.1_core_TRI_cluster_5497351_5534946.fna,NIV,confirmed,"_R_GCA_032355295.1|CP126885.1|core_TRI_cluster|5497351-5534946|locus=5502351-5529946|genes=TRI8,TRI7,TRI3,TRI4,TRI6,TRI5,TRI10,TRI9,TRI11,TRI12,TRI14"
GCA_037074405.1,Fusarium graminearum,15-ADON,TRI,,CM073625.1,GCA_037074405.1|CM073625.1|L2,core_TRI_cluster,"TRI8,TRI3,TRI4,TRI6,TRI5,TRI10,TRI9,TRI11,TRI12,TRI14",5459538,5486586,27049,5454538,5491586,37049,5000,/mnt/beegfs/home/s486140/final_BGC/genomes/GCA_037074405.1_genomic.fna,/mnt/beegfs/home/s486140/final_BGC/results/extracted_loci/core_TRI_cluster/GCA_037074405.1_CM073625.1_core_TRI_cluster_5454538_5491586.fna,15-ADON,confirmed,"_R_GCA_037074405.1|CM073625.1|core_TRI_cluster|5454538-5491586|locus=5459538-5486586|genes=TRI8,TRI3,TRI4,TRI6,TRI5,TRI10,TRI9,TRI11,TRI12,TRI14"
GCA_037213105.1,Fusarium graminearum,3-ADON,TRI,,CP147678.1,GCA_037213105.1|CP147678.1|L2,core_TRI_cluster,"TRI8,TRI3,TRI4,TRI6,TRI5,TRI10,TRI9,TRI11,TRI12,TRI14",5385139,5409873,24735,5380139,5414873,34735,5000,/mnt/beegfs/home/s486140/final_BGC/genomes/GCA_037213105.1_genomic.fna,/mnt/beegfs/home/s486140/final_BGC/results/extracted_loci/core_TRI_cluster/GCA_037213105.1_CP147678.1_core_TRI_cluster_5380139_5414873.fna,3-ADON,confirmed,"_R_GCA_037213105.1|CP147678.1|core_TRI_cluster|5380139-5414873|locus=5385139-5409873|genes=TRI8,TRI3,TRI4,TRI6,TRI5,TRI10,TRI9,TRI11,TRI12,TRI14"
GCA_037255895.1,Fusarium graminearum,15-ADON,TRI,,CP147673.1,GCA_037255895.1|CP147673.1|L2,core_TRI_cluster,"TRI8,TRI3,TRI4,TRI6,TRI5,TRI10,TRI9,TRI11,TRI12,TRI14",5439173,5466144,26972,5434173,5471144,36972,5000,/mnt/beegfs/home/s486140/final_BGC/genomes/GCA_037255895.1_genomic.fna,/mnt/beegfs/home/s486140/final_BGC/results/extracted_loci/core_TRI_cluster/GCA_037255895.1_CP147673.1_core_TRI_cluster_5434173_5471144.fna,15-ADON,confirmed,"_R_GCA_037255895.1|CP147673.1|core_TRI_cluster|5434173-5471144|locus=5439173-5466144|genes=TRI8,TRI3,TRI4,TRI6,TRI5,TRI10,TRI9,TRI11,TRI12,TRI14"
GCA_046056315.1,Fusarium poae,NIV,TRI,,CM100255.1,GCA_046056315.1|CM100255.1|L2,core_TRI_cluster,"TRI8,TRI7,TRI3,TRI4,TRI6,TRI5,TRI10,TRI9,TRI11,TRI12,TRI13,TRI14",5851507,5881662,30156,5846507,5886662,40156,5000,/mnt/beegfs/home/s486140/final_BGC/genomes/GCA_046056315.1_genomic.fna,/mnt/beegfs/home/s486140/final_BGC/results/extracted_loci/core_TRI_cluster/GCA_046056315.1_CM100255.1_core_TRI_cluster_5846507_5886662.fna,NIV,confirmed,"_R_GCA_046056315.1|CM100255.1|core_TRI_cluster|5846507-5886662|locus=5851507-5881662|genes=TRI8,TRI7,TRI3,TRI4,TRI6,TRI5,TRI10,TRI9,TRI11,TRI12,TRI13,TRI14"
GCA_050916195.1,Fusarium asiaticum,3-ADON,TRI,,CP099493.1,GCA_050916195.1|CP099493.1|L2,core_TRI_cluster,"TRI8,TRI3,TRI4,TRI6,TRI5,TRI10,TRI9,TRI11,TRI12,TRI14",5454195,5479208,25014,5449195,5484208,35014,5000,/mnt/beegfs/home/s486140/final_BGC/genomes/GCA_050916195.1_genomic.fna,/mnt/beegfs/home/s486140/final_BGC/results/extracted_loci/core_TRI_cluster/GCA_050916195.1_CP099493.1_core_TRI_cluster_5449195_5484208.fna,3-ADON,confirmed,"_R_GCA_050916195.1|CP099493.1|core_TRI_cluster|5449195-5484208|locus=5454195-5479208|genes=TRI8,TRI3,TRI4,TRI6,TRI5,TRI10,TRI9,TRI11,TRI12,TRI14"
