Alignment_order,Genome_ID,Mauve_header,Alignment_length,Gap_count,N_count,Non_gap_length,Species,Chemotype,Chromosome_or_Contig,Genes,Locus_start,Locus_end,Extract_start,Extract_end,Analysis_role,Gap_fraction
1,GCA_001292635.1,"GCA_001292635.1|JXCE01000103.1|core_TRI_cluster|8420-44610|locus=13420-39610|genes=TRI14,TRI13,TRI12,TRI11,TRI9,TRI10,TRI5,TRI6,TRI4,TRI3,TRI8_(bases_43_to_36191)",64708,28559,0,36149,Fusarium langsethiae,T-2/HT-2,JXCE01000103.1,"TRI14,TRI13,TRI12,TRI11,TRI9,TRI10,TRI5,TRI6,TRI4,TRI3,TRI8",13420,39610,8420,44610,discovery,0.441351919391729
2,GCA_014898995.1,"GCA_014898995.1|JAAVUF010001174.1|core_TRI_cluster|11940-36784|locus=16940-36556|genes=TRI14,TRI13,TRI12,TRI11,TRI9,TRI10,TRI5,TRI6,TRI4_(bases_2_to_24832)",64708,39877,0,24831,Fusarium sibiricum,T-2/HT-2 *,JAAVUF010001174.1,"TRI14,TRI13,TRI12,TRI11,TRI9,TRI10,TRI5,TRI6,TRI4",16940,36556,11940,36784,validation_unconfirmed,0.6162607405575817
3,GCA_016952305.1,"GCA_016952305.1|CP064753.1|core_TRI_cluster|5610272-5647859|locus=5615272-5642859|genes=TRI14,TRI12,TRI11,TRI9,TRI10,TRI5,TRI6,TRI4,TRI3,TRI7,TRI8_(bases_3_to_37569)",64708,27141,0,37567,Fusarium pseudograminearum,Not reported,CP064753.1,"TRI14,TRI12,TRI11,TRI9,TRI10,TRI5,TRI6,TRI4,TRI3,TRI7,TRI8",5615272,5642859,5610272,5647859,unlabelled,0.41943809111701796
4,GCA_016952355.1,"GCA_016952355.1|CP064747.1|core_TRI_cluster|5851025-5888459|locus=5856025-5883459|genes=TRI8,TRI7,TRI3,TRI4,TRI6,TRI5,TRI10,TRI9,TRI11,TRI12,TRI14_(bases_37434_to_3)",64708,27276,0,37432,Fusarium culmorum,Not reported,CP064747.1,"TRI8,TRI7,TRI3,TRI4,TRI6,TRI5,TRI10,TRI9,TRI11,TRI12,TRI14",5856025,5883459,5851025,5888459,unlabelled,0.4215243864746245
5,GCA_017656985.1,"GCA_017656985.1|JAGDVF010000009.1|core_TRI_cluster|159296-196258|locus=164296-191258|genes=TRI14,TRI12,TRI11,TRI9,TRI10,TRI5,TRI6,TRI4,TRI3,TRI8_(bases_1_to_36963)",64708,27745,0,36963,Fusarium boothii,15-ADON,JAGDVF010000009.1,"TRI14,TRI12,TRI11,TRI9,TRI10,TRI5,TRI6,TRI4,TRI3,TRI8",164296,191258,159296,196258,discovery,0.42877233108734625
6,GCA_018104275.1,"GCA_018104275.1|JAFFKB010000014.1|core_TRI_cluster|4464928-4505111|locus=4469928-4500111|genes=TRI8,TRI3,TRI4,TRI6,TRI5,TRI10,TRI9,TRI11,TRI12,TRI13,TRI14_(bases_38098_to_3)",64708,26612,0,38096,Fusarium langsethiae,T-2/HT-2,JAFFKB010000014.1,"TRI8,TRI3,TRI4,TRI6,TRI5,TRI10,TRI9,TRI11,TRI12,TRI13,TRI14",4469928,4500111,4464928,4505111,discovery,0.41126290412313776
7,GCA_019054615.1,"GCA_019054615.1|JAHKNR010000001.1|core_TRI_cluster|3460408-3496808|locus=3465408-3491808|genes=TRI14,TRI13,TRI12,TRI11,TRI9,TRI10,TRI5,TRI6,TRI4,TRI3,TRI8_(bases_1_to_36401)",64708,28307,0,36401,Fusarium sporotrichioides,T-2/HT-2 *,JAHKNR010000001.1,"TRI14,TRI13,TRI12,TRI11,TRI9,TRI10,TRI5,TRI6,TRI4,TRI3,TRI8",3465408,3491808,3460408,3496808,validation_unconfirmed,0.4374575013908636
8,GCA_019054645.1,"GCA_019054645.1|JAHKNS010000002.1|core_TRI_cluster|3576809-3613175|locus=3581809-3608175|genes=TRI14,TRI13,TRI12,TRI11,TRI9,TRI10,TRI5,TRI6,TRI4,TRI8_(bases_1_to_36362)",64708,28346,0,36362,Fusarium sporotrichioides,T-2/HT-2 *,JAHKNS010000002.1,"TRI14,TRI13,TRI12,TRI11,TRI9,TRI10,TRI5,TRI6,TRI4,TRI8",3581809,3608175,3576809,3613175,validation_unconfirmed,0.4380602089386166
9,GCA_019343145.1,"GCA_019343145.1|CP079829.1|core_TRI_cluster|3580848-3617795|locus=3585848-3612795|genes=TRI14,TRI12,TRI11,TRI9,TRI10,TRI5,TRI6,TRI4,TRI3,TRI8_(bases_2_to_36946)",64708,27763,0,36945,Fusarium graminearum,15-ADON,CP079829.1,"TRI14,TRI12,TRI11,TRI9,TRI10,TRI5,TRI6,TRI4,TRI3,TRI8",3585848,3612795,3580848,3617795,discovery,0.42905050380169374
10,GCA_020991245.1,"GCA_020991245.1|CP087872.1|core_TRI_cluster|5387461-5424477|locus=5392461-5419477|genes=TRI8,TRI3,TRI4,TRI6,TRI5,TRI10,TRI9,TRI11,TRI12,TRI14_(bases_37017_to_1)",64708,27691,0,37017,Fusarium graminearum,15-ADON,CP087872.1,"TRI8,TRI3,TRI4,TRI6,TRI5,TRI10,TRI9,TRI11,TRI12,TRI14",5392461,5419477,5387461,5424477,discovery,0.42793781294430366
